subject_id,audiobook001,audiobook002,audiobook003,audiobook004,audiobook005,audiobook006,audiobook007,audiobook008,audiobook009,audiobook010
S501,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S502,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S503,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S504,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S505,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S506,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S507,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S508,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S509,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S510,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S511,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S512,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S513,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S514,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S515,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S516,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S517,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S518,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S519,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S520,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S521,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S522,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S523,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S524,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S525,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S526,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S527,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S528,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S529,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S530,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S531,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S532,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S533,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S534,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S535,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S536,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S537,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S538,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S539,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S540,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S541,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S542,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S543,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S544,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S545,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S546,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S547,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S548,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S549,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S550,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S551,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S552,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S553,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S554,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S555,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S556,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S557,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S558,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S559,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S560,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S561,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S562,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S563,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S564,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S565,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S566,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S567,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S568,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S569,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S570,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S571,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S572,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S573,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S574,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S575,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S576,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S577,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S578,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S579,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S580,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S581,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S582,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S583,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S584,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S585,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S586,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S587,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S588,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S589,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S590,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S591,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S592,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S593,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S594,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S595,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S596,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S597,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S598,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S599,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S600,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1
S900,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5
S901,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1